Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0805_2012Metric,145.1,-137.3,180,top
C2,22u,C_0805_2012Metric,118.8,-134.5,0,top
C3,22u,C_0805_2012Metric,122.4,-134.5,180,top
C4,22u,C_0805_2012Metric,122.4,-136.6,180,top
C5,0.1u,C_0603_1608Metric,122.74,-60.2,180,top
C6,0.1u,C_0603_1608Metric,122.765,-49.4,180,top
C7,0.1u,C_0603_1608Metric,122.765,-71.08,180,top
C8,0.1u,C_0603_1608Metric,147.365,-43,0,top
C9,0.1u,C_0603_1608Metric,108.865,-43,0,top
C10,0.1u,C_0603_1608Metric,130.965,-76.6,-90,top
C11,0.1u,C_0603_1608Metric,108.765,-67.5,180,top
C12,0.1u,C_0603_1608Metric,147.365,-52.2,0,top
C13,0.1u,C_0603_1608Metric,108.765,-58.3,0,top
C14,0.1u,C_0603_1608Metric,147.165,-58.5,0,top
C15,0.1u,C_0603_1608Metric,108.865,-52.2,180,top
C16,0.1u,C_0603_1608Metric,147.165,-67.7,180,top
C17,10u,C_0603_1608Metric,101.465,-118,-90,top
C18,10u,C_0603_1608Metric,104.465,-118,90,top
D1,SM4007,D_SOD-123,157.1,-115.7,180,top
D2,SM4007,D_SOD-123,149.3,-137.3,180,top
R1,9.1k,R_0603_1608Metric,145,-74.9,180,top
R2,9.1k,R_0603_1608Metric,149.7,-74.9,0,top
R3,3.6k,R_0603_1608Metric,145,-73.4,0,top
R4,3.6k,R_0603_1608Metric,149.7,-73.4,180,top
R5,10k,R_0603_1608Metric,144.3,-53.8,0,top
R6,10k,R_0603_1608Metric,150.465,-41.4,180,top
R7,100,R_0603_1608Metric,133.365,-46.9,0,top
R8,3.3k,R_0603_1608Metric,129.2,-89.1,-90,top
R9,3.3k,R_0603_1608Metric,129.465,-76.6,90,top
R10,10k,R_0603_1608Metric,150.465,-52.2,0,top
R11,100,R_0603_1608Metric,132.6,-42.5,90,top
R12,10k,R_0603_1608Metric,144.265,-43,180,top
R13,20k,R_0603_1608Metric,144.3,-52.2,180,top
R14,20k,R_0603_1608Metric,150.465,-43,0,top
R15,100,R_0603_1608Metric,123.5,-42.5,-90,top
R16,100,R_0603_1608Metric,122.765,-45.6,180,top
R17,9.1k,R_0603_1608Metric,145,-76.99,180,top
R18,9.1k,R_0603_1608Metric,149.7,-77,0,top
R19,3.6k,R_0603_1608Metric,145,-78.49,0,top
R20,3.6k,R_0603_1608Metric,149.7,-78.49,180,top
R21,10k,R_0603_1608Metric,144.1,-69.3,0,top
R22,10k,R_0603_1608Metric,150.3,-56.9,180,top
